code,fabricante_oficial,certificacion_calidad
770000100000,AgroProcesados,HACCP
770000100001,Bebidas del Valle,ISO-22000
770000100002,NutriAlimentos Corp,ISO-9001
770000100003,Industrias BioFood,ISO-14001
770000100004,Global Foods,ISO-14001
770000100005,Global Foods,Sin Certificación
770000100006,AgroProcesados,HACCP
770000100007,Industrias BioFood,ISO-22000
770000100008,Global Foods,HACCP
770000100009,Bebidas del Valle,ISO-22000
770000100010,NutriAlimentos Corp,Sin Certificación
770000100011,Global Foods,ISO-22000
770000100012,Industrias BioFood,HACCP
770000100013,AgroProcesados,HACCP
770000100014,Bebidas del Valle,HACCP
770000100015,Global Foods,ISO-9001
770000100016,Bebidas del Valle,ISO-22000
770000100017,Bebidas del Valle,Sin Certificación
770000100018,Industrias BioFood,ISO-14001
770000100019,Bebidas del Valle,ISO-14001
770000100020,AgroProcesados,ISO-9001
770000100021,Bebidas del Valle,ISO-9001
770000100022,NutriAlimentos Corp,ISO-14001
770000100023,Global Foods,HACCP
770000100024,Industrias BioFood,ISO-9001
770000100025,Global Foods,ISO-22000
770000100026,Global Foods,ISO-22000
770000100027,Bebidas del Valle,ISO-14001
770000100028,Industrias BioFood,HACCP
770000100029,AgroProcesados,ISO-9001
770000100030,NutriAlimentos Corp,HACCP
770000100031,Bebidas del Valle,ISO-14001
770000100032,Global Foods,HACCP
770000100033,Bebidas del Valle,ISO-9001
770000100034,AgroProcesados,ISO-9001
770000100035,Industrias BioFood,Sin Certificación
770000100036,NutriAlimentos Corp,ISO-14001
770000100037,Bebidas del Valle,Sin Certificación
770000100038,NutriAlimentos Corp,Sin Certificación
770000100039,Global Foods,ISO-22000
770000100040,Global Foods,ISO-22000
770000100041,Global Foods,HACCP
770000100042,Industrias BioFood,Sin Certificación
770000100043,Industrias BioFood,ISO-9001
770000100044,Industrias BioFood,ISO-14001
770000100045,Bebidas del Valle,ISO-9001
770000100046,Bebidas del Valle,ISO-9001
770000100047,Global Foods,HACCP
