code|impuesto_porcentaje|categoria_fiscal
770000100000|5.0|Lácteos
770000100001|0.0|Canasta Básica
770000100002|19.0|Lácteos
770000100003|10.0|Lácteos
770000100004|5.0|Snacks
770000100005|10.0|Lácteos
770000100006|0.0|Alimentos Procesados
770000100007|19.0|Bebidas Azucaradas
770000100008|19.0|Canasta Básica
770000100009|19.0|Alimentos Procesados
770000100010|19.0|Canasta Básica
770000100011|5.0|Bebidas Azucaradas
770000100012|10.0|Lácteos
770000100013|19.0|Snacks
770000100014|5.0|Bebidas Azucaradas
770000100015|5.0|Lácteos
770000100016|19.0|Snacks
770000100017|0.0|Alimentos Procesados
770000100018|0.0|Snacks
770000100019|10.0|Bebidas Azucaradas
770000100020|5.0|Bebidas Azucaradas
770000100021|0.0|Snacks
770000100022|5.0|Snacks
770000100023|10.0|Alimentos Procesados
770000100024|10.0|Canasta Básica
770000100025|10.0|Alimentos Procesados
770000100026|10.0|Alimentos Procesados
770000100027|0.0|Canasta Básica
770000100028|19.0|Lácteos
770000100029|5.0|Lácteos
770000100030|10.0|Snacks
770000100031|10.0|Alimentos Procesados
770000100032|19.0|Bebidas Azucaradas
770000100033|19.0|Snacks
770000100034|19.0|Snacks
770000100035|10.0|Snacks
770000100036|19.0|Bebidas Azucaradas
770000100037|10.0|Bebidas Azucaradas
770000100038|5.0|Bebidas Azucaradas
770000100039|10.0|Lácteos
770000100040|5.0|Snacks
770000100041|5.0|Canasta Básica
770000100042|5.0|Bebidas Azucaradas
770000100043|0.0|Lácteos
770000100044|5.0|Lácteos
770000100045|0.0|Snacks
770000100046|10.0|Alimentos Procesados
770000100047|10.0|Snacks
770000100048|19.0|Canasta Básica
770000100049|5.0|Bebidas Azucaradas
770000100050|0.0|Bebidas Azucaradas
770000100051|19.0|Alimentos Procesados
770000100052|10.0|Snacks
770000100053|0.0|Alimentos Procesados
770000100054|5.0|Snacks
770000100055|0.0|Bebidas Azucaradas
770000100056|19.0|Canasta Básica
770000100057|5.0|Canasta Básica
770000100058|5.0|Snacks
770000100059|0.0|Bebidas Azucaradas
770000100060|19.0|Lácteos
770000100061|5.0|Canasta Básica
770000100062|19.0|Lácteos
770000100063|5.0|Lácteos
770000100064|5.0|Snacks
770000100065|0.0|Lácteos
770000100066|19.0|Bebidas Azucaradas
770000100067|5.0|Snacks
770000100068|10.0|Alimentos Procesados
770000100069|5.0|Snacks
770000100070|19.0|Bebidas Azucaradas
770000100071|5.0|Snacks
770000100072|19.0|Lácteos
770000100073|0.0|Alimentos Procesados
770000100074|19.0|Lácteos
770000100075|10.0|Snacks
770000100076|5.0|Snacks
770000100077|0.0|Bebidas Azucaradas
770000100078|10.0|Canasta Básica
770000100079|0.0|Canasta Básica
770000100080|10.0|Snacks
770000100081|0.0|Alimentos Procesados
770000100082|10.0|Bebidas Azucaradas
770000100083|19.0|Snacks
770000100084|0.0|Snacks
770000100085|0.0|Lácteos
770000100086|5.0|Canasta Básica
770000100087|19.0|Alimentos Procesados
770000100088|5.0|Alimentos Procesados
770000100089|0.0|Bebidas Azucaradas
770000100090|10.0|Bebidas Azucaradas
770000100091|5.0|Bebidas Azucaradas
770000100092|0.0|Snacks
770000100093|5.0|Bebidas Azucaradas
770000100094|0.0|Lácteos
770000100095|0.0|Snacks
770000100096|19.0|Bebidas Azucaradas
770000100097|0.0|Lácteos
770000100098|19.0|Canasta Básica
770000100099|10.0|Lácteos
770000100100|0.0|Snacks
770000100101|5.0|Snacks
770000100102|0.0|Lácteos
770000100103|10.0|Lácteos
770000100104|19.0|Canasta Básica
770000100105|19.0|Alimentos Procesados
770000100106|19.0|Canasta Básica
770000100107|5.0|Snacks
770000100108|0.0|Canasta Básica
770000100109|0.0|Lácteos
770000100110|0.0|Lácteos
770000100111|19.0|Snacks
770000100112|5.0|Snacks
770000100113|10.0|Bebidas Azucaradas
770000100114|19.0|Alimentos Procesados
770000100115|0.0|Bebidas Azucaradas
770000100116|0.0|Lácteos
770000100117|19.0|Alimentos Procesados
770000100118|5.0|Snacks
770000100119|0.0|Lácteos
770000100120|5.0|Alimentos Procesados
770000100121|10.0|Bebidas Azucaradas
770000100122|19.0|Alimentos Procesados
770000100123|0.0|Lácteos
770000100124|10.0|Lácteos
770000100125|0.0|Alimentos Procesados
770000100126|5.0|Canasta Básica
770000100127|5.0|Canasta Básica
770000100128|19.0|Canasta Básica
770000100129|5.0|Lácteos
770000100130|10.0|Alimentos Procesados
770000100131|19.0|Alimentos Procesados
770000100132|10.0|Canasta Básica
770000100133|10.0|Lácteos
770000100134|19.0|Snacks
770000100135|10.0|Alimentos Procesados
770000100136|5.0|Snacks
770000100137|0.0|Alimentos Procesados
770000100138|19.0|Bebidas Azucaradas
770000100139|5.0|Alimentos Procesados
770000100140|10.0|Snacks
770000100141|5.0|Canasta Básica
770000100142|0.0|Alimentos Procesados
770000100143|10.0|Canasta Básica
770000100144|10.0|Bebidas Azucaradas
770000100145|19.0|Alimentos Procesados
770000100146|10.0|Canasta Básica
770000100147|19.0|Snacks
770000100148|19.0|Snacks
770000100149|10.0|Canasta Básica
770000100150|5.0|Bebidas Azucaradas
770000100151|5.0|Canasta Básica
770000100152|19.0|Canasta Básica
770000100153|5.0|Bebidas Azucaradas
770000100154|19.0|Lácteos
770000100155|19.0|Alimentos Procesados
770000100156|19.0|Snacks
770000100157|0.0|Canasta Básica
770000100158|0.0|Alimentos Procesados
770000100159|10.0|Lácteos
770000100160|10.0|Snacks
770000100161|5.0|Bebidas Azucaradas
770000100162|5.0|Bebidas Azucaradas
770000100163|0.0|Snacks
770000100164|19.0|Snacks
770000100165|5.0|Snacks
770000100166|10.0|Alimentos Procesados
